info;x;y;z
17,1;-21,79559707;-23,684848;0,685029813
17,2;-24,17777749;-17,79079472;1,913437473
17,3;-25,65402002;-24,7977925;-0,865050369
17,4;-28,73505187;-20,45108842;0,54879351
17,5;-29,91755558;-19,15013304;-4,146072635
16,1;-16,06403971;-12,81409408;-0,665433088
16,2;-20,49735573;-7,482337257;3,279748261
16,3;-23,45075014;-15,11785357;1,936097404
16,4;-25,54209436;-10,42013823;2,743250682
16,5;-27,40682058;-10,36105607;-2,189275139
15,1;-15,99353695;-5,069340607;0,21878062
15,2;-18,73086422;-1,099948511;3,822997709
15,3;-20,87720961;-5,450437772;3,437518513
15,4;-22,9735736;-1,571873785;4,770620127
15,5;-24,31784637;-1,39763718;-1,247022339
14,1;-13,51433916;1,703198101;0,351943521
14,2;-16,56196535;5,649147222;4,151782434
14,3;-18,91103142;1,332789361;3,976764552
14,4;-21,33839753;4,973977777;5,432010073
14,5;-21,88039413;5,891924035;-1,361163505
13,1;-11,73822794;8,601971832;0,122313572
13,2;-15,78507778;15,49878019;4,037879294
13,3;-18,20410892;10,29335695;5,625838787
13,4;-17,26534723;13,34220264;5,758181705
13,5;-18,93102707;11,62247433;-3,430957242
12,1;-8,751784852;13,28425357;-0,063481242
12,2;-9,390717307;20,5467011;4,441055507
12,3;-13,93838103;17,61195179;4,803123119
12,4;-11,84118046;19,63826406;5,273240599
12,5;-12,2597572;17,05265653;-4,0503398
11,1;-3,517110281;14,55963607;-0,409573274
11,2;0,042549885;21,72884427;5,981279726
11,3;-7,026484062;21,11143386;6,249609653
11,4;-3,500647004;22,21982448;6,372637237
11,5;-4,174909817;20,24344782;-4,783607946
21,1;4,05078131;13,92616218;-0,414262437
21,2;1,47140526;21,79595612;6,291125553
21,3;8,334423198;20,09082311;5,875961985
21,4;5,08705209;21,6113177;6,259582725
21,5;4,729039798;19,9719812;-4,207413579
22,1;9,448106284;13,10815465;0,325849792
22,2;10,39584564;19,89982553;4,423182115
22,3;14,38260789;16,43727904;4,815778804
22,4;12,75818693;18,30068391;4,845521683
22,5;12,82409681;15,97307769;-4,54008073
23,1;12,11824599;7,633573607;0,28738784
23,2;16,8477603;14,12738685;4,727994111
23,3;19,24025657;9,559119691;4,66682872
23,4;18,14299905;12,2528884;5,429679573
23,5;18,15418873;11,16990687;-4,830818269
24,1;13,76842206;0,862698368;0,412364557
24,2;17,46010727;5,473098932;3,739340953
24,3;19,68282046;0,223160767;3,079683671
24,4;21,82687345;4,448392243;4,486023939
24,5;21,91228838;4,65280806;-2,669962599
25,1;15,80107723;-6,601533668;0,016845492
25,2;18,83301586;-1,931742192;3,561490958
25,3;21,71645933;-6,389286438;2,913567931
25,4;22,83406226;-2,30999218;4,206998473
25,5;23,45216381;-1,992791388;-1,479387578
26,1;16,33892767;-14,06511165;-0,257308352
26,2;21,61586878;-8,385657191;2,688722477
26,3;23,96217971;-16,64289132;1,360734903
26,4;25,75098555;-11,41875807;2,117226542
26,5;27,24285646;-10,82633897;-2,765034706
27,1;22,17767749;-24,1427913;0,214186584
27,2;26,79627553;-16,92340608;1,207545488
27,3;26,18856907;-25,32123082;-0,863792566
27,4;29,68326875;-20,82101208;0,033664212
27,5;30,42119659;-19,66213435;-5,048424217
